================ Training Loss (Tue Feb  8 03:37:46 2022) ================
   Avg Run Time (ms/batch): 6711.835 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6931.544 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6658.300 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6490.576 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6692.280 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6479.783 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6382.079 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6322.417 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6812.046 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6362.121 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6616.414 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6405.483 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6433.807 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6409.579 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6756.505 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6390.818 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6383.030 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6410.258 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6367.572 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6261.155 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6250.813 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6337.504 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6255.813 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6261.175 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6137.924 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6277.801 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6151.498 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6239.982 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6224.946 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6278.063 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6167.641 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6064.161 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6279.004 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6317.459 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6386.106 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6385.689 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6398.702 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6404.234 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6367.204 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6419.227 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6356.917 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6400.218 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6400.846 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6369.582 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6365.233 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6406.346 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6387.265 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6351.603 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6432.336 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6357.954 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6362.496 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6362.919 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6369.063 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6403.751 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6409.507 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6308.001 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6380.011 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6386.817 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6352.460 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6384.924 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6390.373 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6368.698 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6384.822 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6368.903 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6407.986 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6397.295 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6348.182 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6375.260 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6437.053 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6424.007 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6400.192 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6351.189 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6441.787 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6437.784 roc: 0.444 max roc: 0.444
